Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,829.849976,829.849976,818.099976,824.150024,756.892944,1777318
2016-03-02,830.000000,855.000000,830.000000,849.250000,779.944519,1221727
2016-03-03,855.500000,856.099976,845.750000,848.900024,779.623291,746384
2016-03-04,848.500000,855.900024,841.450012,848.750000,779.485413,1331537
2016-03-08,848.000000,848.000000,824.000000,826.250000,758.821533,1342346
2016-03-09,826.549988,843.900024,826.549988,839.650024,771.127991,1929618
2016-03-10,837.000000,841.000000,829.000000,837.549988,769.199341,1140147
2016-03-11,842.000000,857.950012,831.500000,851.599976,782.102783,1527676
2016-03-14,855.049988,860.000000,845.000000,857.150024,787.199890,825367
2016-03-15,852.099976,856.799988,835.549988,840.799988,772.184204,1330602
2016-03-16,844.900024,845.849976,831.000000,844.150024,775.260925,1511400
2016-03-17,848.099976,855.000000,843.000000,849.650024,780.311951,1970969
2016-03-18,850.000000,852.000000,838.000000,848.349976,779.118042,1848223
2016-03-21,847.099976,883.000000,847.099976,879.650024,807.863647,1587554
2016-03-22,876.049988,880.650024,862.400024,870.150024,799.139038,2024654
2016-03-23,870.000000,877.349976,860.549988,873.599976,802.307373,1373555
2016-03-28,876.000000,876.099976,860.200012,863.650024,793.169434,2033190
2016-03-29,860.299988,871.349976,858.599976,861.150024,790.873535,1389839
2016-03-30,862.000000,878.950012,858.900024,861.650024,791.332764,1453623
2016-03-31,855.500000,875.700012,855.500000,869.500000,798.542053,2635929
2016-04-01,867.099976,874.900024,856.000000,867.799988,796.980774,1096484
2016-04-04,863.099976,874.950012,861.299988,872.200012,801.021729,960124
2016-04-05,870.200012,882.849976,862.299988,868.500000,797.623718,1096886
2016-04-06,869.000000,872.900024,863.000000,871.700012,800.562561,1041648
2016-04-07,870.000000,874.849976,855.049988,860.000000,789.817200,848064
2016-04-08,861.000000,863.000000,845.799988,850.400024,781.000732,712487
2016-04-11,853.000000,867.849976,845.099976,864.299988,793.766479,943737
2016-04-12,866.900024,874.400024,860.200012,872.500000,801.297241,867406
2016-04-13,875.000000,899.599976,873.500000,897.700012,824.440735,1897529
2016-04-18,900.200012,904.950012,886.500000,899.150024,825.772400,1091523
2016-04-20,899.099976,906.000000,893.150024,904.099976,830.318420,1424850
2016-04-21,905.000000,906.900024,896.000000,904.049988,830.272461,1162870
2016-04-22,897.799988,904.299988,883.000000,884.200012,812.042358,1078366
2016-04-25,880.500000,889.000000,875.500000,884.150024,811.996460,828061
2016-04-26,881.599976,896.000000,880.700012,885.750000,813.465942,1214609
2016-04-27,884.400024,894.000000,880.900024,892.200012,819.389404,778693
2016-04-28,893.200012,896.799988,871.000000,876.250000,804.741089,2715410
2016-04-29,876.000000,879.349976,859.200012,867.900024,797.072693,1581281
2016-05-02,867.000000,867.000000,855.000000,863.950012,793.444885,787156
2016-05-03,863.950012,869.000000,848.000000,851.000000,781.551758,1305303
2016-05-04,850.000000,855.900024,844.000000,853.400024,783.755981,568460
2016-05-05,859.000000,861.900024,846.799988,850.150024,780.771118,760873
2016-05-06,848.000000,856.500000,846.750000,853.400024,783.755981,411253
2016-05-09,851.000000,869.700012,839.200012,845.500000,776.500610,3215773
2016-05-10,848.799988,867.900024,845.599976,862.450012,792.067383,1523285
2016-05-11,855.000000,866.799988,851.099976,862.549988,792.159180,697299
2016-05-12,858.400024,862.000000,849.349976,853.000000,783.388489,730642
2016-05-13,852.950012,852.950012,821.950012,831.799988,763.918701,2369627
2016-05-16,833.000000,848.500000,817.000000,846.250000,777.189331,1940183
2016-05-17,850.000000,850.349976,831.000000,834.049988,765.984985,1434067
2016-05-18,833.700012,834.549988,823.000000,825.500000,758.132813,1428456
2016-05-19,826.099976,829.849976,810.349976,815.099976,748.581543,1866764
2016-05-20,820.000000,821.000000,806.150024,812.400024,746.101868,1624617
2016-05-23,817.000000,825.750000,813.049988,819.599976,752.714294,1118741
2016-05-24,819.000000,824.450012,815.450012,823.099976,755.928650,946784
2016-05-25,828.000000,841.450012,827.049988,840.099976,771.541138,1127694
