Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,547.400024,565.150024,547.400024,562.724976,485.574585,6386154
2016-03-02,568.525024,581.750000,562.500000,578.000000,498.755280,7214898
2016-03-03,584.000000,596.424988,577.000000,584.650024,504.493622,5814304
2016-03-04,587.799988,592.500000,579.549988,585.325012,505.076050,4281680
2016-03-08,581.500000,595.250000,573.700012,581.724976,501.969543,7617746
2016-03-09,572.500000,591.875000,571.474976,589.250000,508.462921,6305782
2016-03-10,581.450012,581.450012,569.674988,571.250000,492.930695,24381016
2016-03-11,573.099976,577.974976,569.099976,571.500000,493.146454,4058548
2016-03-14,573.000000,577.125000,569.250000,570.599976,492.369873,4174262
2016-03-15,572.000000,577.250000,564.474976,567.200012,489.436005,6720258
2016-03-16,570.950012,577.500000,565.775024,576.224976,497.223602,5588850
2016-03-17,578.450012,584.875000,577.025024,580.875000,501.236145,6474622
2016-03-18,581.400024,599.500000,581.000000,596.700012,514.891602,8477422
2016-03-21,594.000000,599.500000,590.025024,597.450012,515.538757,5138392
2016-03-22,595.625000,597.000000,586.000000,594.974976,513.403015,7097950
2016-03-23,595.000000,605.349976,591.049988,603.900024,521.104492,6333176
2016-03-28,616.200012,618.500000,597.875000,602.450012,519.853149,10787510
2016-03-29,599.500000,609.450012,595.775024,598.625000,516.552673,6995356
2016-03-30,598.799988,605.000000,597.775024,602.974976,520.306213,5756818
2016-03-31,605.125000,614.950012,600.150024,609.150024,525.634644,17996320
2016-04-01,608.000000,611.099976,597.549988,602.724976,520.090454,5511428
2016-04-04,606.775024,624.000000,606.775024,621.849976,536.593445,4577054
2016-04-05,621.000000,621.150024,607.000000,609.900024,526.281799,4790716
2016-04-06,614.000000,614.000000,598.000000,600.349976,518.041138,4931354
2016-04-07,604.200012,604.200012,587.500000,590.750000,509.757355,5657890
2016-04-08,587.924988,588.750000,581.025024,582.875000,502.961945,4195578
2016-04-11,582.900024,593.375000,575.549988,591.950012,510.792755,5768678
2016-04-12,590.250000,597.450012,589.299988,591.099976,510.059265,5842138
2016-04-13,597.474976,597.474976,583.174988,586.349976,505.960510,12511386
2016-04-18,625.000000,633.950012,616.750000,619.349976,534.436218,25015990
2016-04-20,622.000000,623.224976,612.900024,621.799988,536.550293,8072848
2016-04-21,625.500000,625.500000,609.049988,613.150024,529.086243,5441100
2016-04-22,613.150024,614.250000,603.500000,605.625000,522.592957,5143938
2016-04-25,606.025024,612.400024,600.549988,607.924988,524.577576,5364134
2016-04-26,607.724976,619.775024,604.299988,616.075012,531.610229,5846744
2016-04-27,614.599976,621.174988,614.275024,620.075012,535.061768,4486208
2016-04-28,615.500000,619.799988,603.500000,604.575012,521.686890,12165168
2016-04-29,605.724976,611.775024,602.500000,604.049988,521.233826,5036410
2016-05-02,605.000000,605.575012,598.075012,600.525024,518.192139,3615250
2016-05-03,601.375000,606.099976,585.900024,588.900024,508.160858,6824810
2016-05-04,590.500000,596.500000,585.325012,594.424988,512.928528,5812842
2016-05-05,597.575012,599.500000,590.549988,596.224976,514.481689,6302668
2016-05-06,594.900024,594.900024,588.525024,590.750000,509.757355,2596720
2016-05-09,591.000000,600.775024,590.299988,599.525024,517.329285,5123678
2016-05-10,601.250000,608.325012,598.299988,606.400024,523.261719,3395704
2016-05-11,599.250000,607.349976,596.250000,600.924988,518.537292,3709888
2016-05-12,601.950012,606.500000,598.400024,605.000000,522.053528,3406932
2016-05-13,603.000000,605.000000,596.075012,603.625000,520.867126,5652064
